,Player,Nationality,Position,Club Team,League,Age,Matches Played,Goals,Assists,Expected Goals
2181,Chris Ramos,es ESP,"FW,MF",Cádiz,es La Liga,26,37,5,1,10.1
2182,Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,22,29,11,1,10.9
2183,Sergio Ramos,es ESP,DF,Sevilla,es La Liga,37,28,3,0,1.9
2184,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,6,0,0,0.0
2185,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,14,0,0,0.3
2186,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,16,1,1,2.2
2187,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,24,26,2,1,0.9
2188,Filippo Ranocchia,it ITA,"MF,DF",Empoli,it Serie A,22,9,0,0,0.2
2189,Grant Ranos,am ARM,"MF,FW",Gladbach,de Bundesliga,20,9,0,0,0.3
2190,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,26,28,6,9,7.4
2191,Nicolai Rapp,de GER,DF,Werder Bremen,de Bundesliga,26,2,0,0,0.0
2192,Elba Rashani,xk KVX,"MF,FW",Clermont Foot,fr Ligue 1,30,24,2,0,2.1
2193,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,25,33,7,2,7.4
2194,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,23,37,5,3,5.9
2195,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,es La Liga,25,12,0,0,0.3
2196,Raúl,es ESP,FW,Osasuna,es La Liga,22,35,6,1,4.9
2197,David Raum,de GER,DF,RB Leipzig,de Bundesliga,25,31,2,8,0.8
2198,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,23,6,0,0,0.0
2199,David Raya,es ESP,GK,Arsenal,eng Premier League,27,32,0,0,0.0
2200,Tim Ream,us USA,DF,Fulham,eng Premier League,35,18,1,0,1.0
2201,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24,23,1,0,0.8
2202,Nathan Redmond,eng ENG,"FW,MF",Burnley,eng Premier League,29,12,0,0,0.0
2203,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,28,27,0,2,0.3
2204,Sergio Reguilón,es ESP,DF,Manchester Utd,eng Premier League,26,9,0,0,0.2
2205,Sergio Reguilón,es ESP,DF,Brentford,eng Premier League,26,16,0,4,0.8
2206,Bobby Reid,jm JAM,FW,Fulham,eng Premier League,30,33,6,2,4.6
2207,Tijjani Reijnders,nl NED,MF,Milan,it Serie A,25,36,3,3,3.2
2208,Pepe Reina,es ESP,GK,Villarreal,es La Liga,40,2,0,0,0.0
2209,Reinier,br BRA,"MF,FW",Frosinone,it Serie A,21,22,2,2,1.3
2210,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,21,34,6,3,3.7
2211,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28,37,0,0,0.0
2212,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,18,34,0,0,0.0
2213,Mateo Retegui,it ITA,FW,Genoa,it Serie A,24,29,7,2,5.8
2214,Marco Reus,de GER,"MF,FW",Dortmund,de Bundesliga,34,26,6,8,6.5
2215,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,de Bundesliga,25,25,2,0,1.7
2216,Gio Reyna,us USA,"FW,MF",Nott'ham Forest,eng Premier League,20,9,0,1,0.3
2217,Gio Reyna,us USA,"MF,FW",Dortmund,de Bundesliga,20,11,0,0,0.8
2218,Chadi Riad,ma MAR,DF,Betis,es La Liga,20,26,0,0,0.7
2219,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,23,29,0,0,2.0
2220,Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,eng Premier League,18,4,0,0,0.0
2221,Samuele Ricci,it ITA,MF,Torino,it Serie A,21,32,1,2,1.3
2222,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,24,38,7,8,3.3
2223,Chris Richards,us USA,"DF,MF",Crystal Palace,eng Premier League,23,26,1,1,0.6
2224,Amir Richardson,ma MAR,MF,Reims,fr Ligue 1,21,28,3,1,1.6
2225,Richarlison,br BRA,FW,Tottenham,eng Premier League,26,28,11,4,9.6
2226,Marco Richter,de GER,"MF,FW",Mainz 05,de Bundesliga,25,20,1,0,1.9
2227,Diego Rico,es ESP,DF,Getafe,es La Liga,30,32,0,7,0.3
2228,Clemens Riedel,de GER,DF,Darmstadt 98,de Bundesliga,20,14,0,0,0.3
2229,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,21,15,1,0,0.3
2230,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,eng Premier League,26,9,0,0,0.0
2231,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34,33,0,0,0.0
2232,Luis Rioja,es ESP,"FW,MF",Alavés,es La Liga,29,37,5,4,6.1
2233,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,35,3,0,0,0.0
2234,Rodrigo Riquelme,es ESP,"DF,MF",Atlético Madrid,es La Liga,23,34,3,5,2.7
2235,Alberto Risco,es ESP,MF,Getafe,es La Liga,17,4,0,0,0.1
2236,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,es La Liga,27,12,0,0,0.3
2237,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,33,13,1,0,1.0
2238,Gorka Rivera Alonso,es ESP,DF,Getafe,es La Liga,18,1,0,0,0.0
2239,Sergi Roberto,es ESP,"MF,DF",Barcelona,es La Liga,31,14,3,2,1.7
2240,Lucas Robertone,ar ARG,MF,Almería,es La Liga,26,33,0,5,1.0
2241,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,27,14,0,1,0.0
2242,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,29,23,3,2,1.9
2243,Antonee Robinson,us USA,DF,Fulham,eng Premier League,25,37,0,6,0.7
2244,Jack Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,29,34,1,1,1.2
2245,Marc Roca,es ESP,MF,Betis,es La Liga,26,26,2,2,1.1
2246,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,32,8,0,0,0.0
2247,Sergio Rodelas,es ESP,"FW,DF",Granada,es La Liga,18,3,0,1,0.0
2248,Rodri,es ESP,MF,Manchester City,eng Premier League,27,34,8,9,4.1
2249,Rodri,es ESP,"FW,MF",Betis,es La Liga,23,29,0,0,1.1
2250,Álvaro Rodríguez,uy URU,FW,Real Madrid,es La Liga,19,1,0,0,0.0
2251,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Getafe,es La Liga,25,24,2,1,1.5
2252,Damián Rodríguez,es ESP,MF,Celta Vigo,es La Liga,20,5,0,2,0.0
2253,Dani Rodríguez,es ESP,MF,Mallorca,es La Liga,35,36,2,4,1.4
2254,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,29,24,2,0,0.7
2255,Jay Rodriguez,eng ENG,FW,Burnley,eng Premier League,34,21,2,1,3.5
2256,Kirian Rodríguez,es ESP,MF,Las Palmas,es La Liga,27,37,6,2,2.1
2257,Miguel Rodríguez,es ESP,MF,Celta Vigo,es La Liga,20,15,0,0,0.2
2258,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,30,35,1,2,0.3
2259,Rodrygo,br BRA,FW,Real Madrid,es La Liga,22,34,10,5,11.7
2260,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,24,34,1,2,0.9
2261,Rogério,br BRA,DF,Wolfsburg,de Bundesliga,25,13,1,0,0.3
2262,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,eng Premier League,21,11,3,1,1.4
2263,Merlin Röhl,de GER,"MF,FW",Freiburg,de Bundesliga,21,24,2,4,2.0
2264,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,28,29,0,0,0.6
2265,Simone Romagnoli,it ITA,DF,Frosinone,it Serie A,33,33,1,1,1.2
2266,Carlos Romero,es ESP,DF,Villarreal,es La Liga,21,7,0,0,0.4
2267,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,25,33,5,0,3.5
2268,Isaac Romero,es ESP,FW,Sevilla,es La Liga,23,14,4,4,7.3
2269,Luka Romero,ar ARG,"FW,MF",Milan,it Serie A,18,4,0,0,0.1
2270,Luka Romero,ar ARG,FW,Almería,es La Liga,18,13,3,0,1.3
2271,Oriol Romeu,es ESP,MF,Barcelona,es La Liga,31,28,0,1,0.7
2272,Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,28,10,0,0,0.6
2273,Frank Ronstadt,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26,4,0,0,0.1
2274,Marten de Roon,nl NED,"MF,DF",Atalanta,it Serie A,32,30,0,5,0.6
2275,Unai Ropero,es ESP,MF,Alavés,es La Liga,21,1,0,0,0.0
2276,Vitor Roque,br BRA,FW,Barcelona,es La Liga,18,14,2,0,2.5
2277,Pablo Rosario,nl NED,"MF,DF",Nice,fr Ligue 1,26,30,0,0,1.2
2278,Valentin Rosier,fr FRA,"DF,MF",Nice,fr Ligue 1,26,3,0,0,0.0
2279,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,32,1,0,0,0.0
2280,Joe Rothwell,eng ENG,MF,Bournemouth,eng Premier League,28,11,0,0,0.1
2281,Anthony Rouault,fr FRA,DF,Stuttgart,de Bundesliga,22,22,0,2,0.1
2282,Jérôme Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,30,23,0,1,0.3
2283,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,21,23,0,2,0.6
2284,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,29,30,3,0,2.2
2285,Ruan,br BRA,DF,Sassuolo,it Serie A,24,26,0,0,0.5
2286,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,eng Premier League,30,27,0,0,0.6
2287,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,30,33,1,0,1.5
2288,Fabian Rüdlin,de GER,MF,Freiburg,de Bundesliga,26,1,0,0,0.0
2289,Javier Rueda Garcia,es ESP,"MF,DF",Celta Vigo,es La Liga,21,1,0,0,0.0
2290,Daniele Rugani,it ITA,DF,Juventus,it Serie A,29,17,2,0,1.6
2291,Matteo Ruggeri,it ITA,DF,Atalanta,it Serie A,21,34,0,4,0.5
2292,Mário Rui,pt POR,DF,Napoli,it Serie A,32,21,0,2,0.1
2293,Aitor Ruibal,es ESP,"DF,FW",Betis,es La Liga,27,18,2,1,0.8
2294,Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,27,21,1,3,2.0
2295,Sergio Ruiz,es ESP,MF,Granada,es La Liga,28,35,0,4,0.7
2296,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,25,21,4,1,1.8
2297,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,30,33,0,0,0.1
2298,José Sá,pt POR,GK,Wolves,eng Premier League,30,35,0,1,0.0
2299,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,30,12,0,1,0.1
2300,Emmanuel Sabbi,us USA,"FW,MF",Le Havre,fr Ligue 1,25,30,5,1,4.1
2301,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,30,32,0,1,0.8
2302,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,29,25,4,3,3.6
2303,Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,28,19,0,1,0.0
2304,Dominic Sadi,eng ENG,FW,Bournemouth,eng Premier League,19,1,0,0,0.0
2305,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,26,26,3,1,3.6
2306,Alexis Saelemaekers,be BEL,"FW,MF",Bologna,it Serie A,24,30,4,2,2.6
2307,Pablo Saenz,es ESP,MF,Granada,es La Liga,22,1,0,0,0.0
2308,Modibo Sagnan,ml MLI,DF,Montpellier,fr Ligue 1,24,13,2,0,1.2
2309,Wesley Saïd,fr FRA,"FW,MF",Lens,fr Ligue 1,28,27,7,1,5.7
2310,Théo Sainte-Luce,fr FRA,DF,Montpellier,fr Ligue 1,24,6,0,0,0.1
2311,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,21,35,16,9,15.5
2312,Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,33,1,0,0,0.0
2313,Ibrahim Salah,ma MAR,"FW,MF",Rennes,fr Ligue 1,21,23,4,1,3.1
2314,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,31,32,18,10,21.2
2315,Amine Salama,fr FRA,FW,Reims,fr Ligue 1,23,11,0,0,0.7
2316,Kike Salas,es ESP,DF,Sevilla,es La Liga,21,23,3,0,0.8
2317,William Saliba,fr FRA,DF,Arsenal,eng Premier League,22,38,2,1,1.6
2318,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,24,12,0,1,0.2
2319,Roland Sallai,hu HUN,"MF,FW",Freiburg,de Bundesliga,26,27,3,2,7.9
2320,Yoann Salmier,gf GUF,DF,Le Havre,fr Ligue 1,30,20,1,1,1.1
2321,Salvi,es ESP,MF,Rayo Vallecano,es La Liga,32,1,0,0,0.0
2322,Lazar Samardzic,rs SRB,MF,Udinese,it Serie A,21,34,6,2,3.5
2323,Diadie Samassékou,ml MLI,MF,Cádiz,es La Liga,27,4,0,0,0.0
2324,Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,27,1,0,0,0.0
2325,Mama Samba Baldé,gw GNB,"FW,MF",Lyon,fr Ligue 1,27,20,2,3,3.4
2326,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,29,33,0,0,0.0
2327,Albert Sambi Lokonga,be BEL,MF,Luton Town,eng Premier League,23,17,1,3,0.6
2328,Junior Sambia,fr FRA,"DF,MF",Salernitana,it Serie A,26,18,1,2,0.5
2329,Fede San Emeterio,es ESP,MF,Cádiz,es La Liga,26,4,1,0,0.1
2330,Antonio Sanabria,py PAR,"FW,MF",Torino,it Serie A,27,35,5,0,9.3
2331,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,23,30,4,5,6.3
2332,Renato Sanches,pt POR,MF,Roma,it Serie A,25,7,1,0,0.1
2333,Ricard Sánchez,es ESP,DF,Granada,es La Liga,23,33,3,0,1.0
2334,Alexis Sánchez,cl CHI,"FW,MF",Inter,it Serie A,34,23,2,5,3.2
2335,Antonio Sánchez,es ESP,MF,Mallorca,es La Liga,26,29,3,1,2.5
2336,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,27,1,0,0,0.1
2337,Juanlu Sánchez,es ESP,DF,Sevilla,es La Liga,19,26,0,2,0.9
2338,Manu Sánchez,es ESP,"DF,MF",Celta Vigo,es La Liga,22,26,0,5,0.5
2339,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,25,16,0,0,0.0
2340,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,eng Premier League,23,3,0,0,0.0
2341,Jadon Sancho,eng ENG,"FW,MF",Dortmund,de Bundesliga,23,14,2,2,0.7
2342,Alex Sandro,br BRA,DF,Juventus,it Serie A,32,16,1,0,0.4
2343,Ibou Sané,sn SEN,"MF,FW",Metz,fr Ligue 1,18,9,1,0,0.7
2344,Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,27,27,8,11,10.9
2345,Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,19,14,0,0,0.4
2346,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,21,30,0,0,0.9
2347,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,eng Premier League,25,17,0,0,0.6
2348,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,28,29,2,3,3.3
2349,Nicola Sansone,it ITA,"FW,MF",Lecce,it Serie A,31,25,2,2,2.8
2350,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,28,30,0,1,1.9
2351,Jesús Santiago,es ESP,MF,Getafe,es La Liga,19,14,1,0,0.6
2352,Andrey Santos,br BRA,MF,Nott'ham Forest,eng Premier League,19,1,0,0,0.1
2353,Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,19,11,1,0,1.0
2354,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,21,29,1,2,1.4
2355,Paco Sanz,es ESP,DF,Almería,es La Liga,18,1,0,0,0.0
2356,Riccardo Saponara,it ITA,"FW,MF",Hellas Verona,it Serie A,31,12,0,0,0.1
2357,Pablo Sarabia,es ESP,"MF,FW",Wolves,eng Premier League,31,30,4,7,5.5
2358,Amin Sarr,se SWE,"FW,MF",Lyon,fr Ligue 1,22,3,0,0,0.3
2359,Amin Sarr,se SWE,"FW,MF",Wolfsburg,de Bundesliga,22,14,0,0,0.6
2360,Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,31,2,0,0,0.2
2361,Ismaila Sarr,sn SEN,"FW,MF",Marseille,fr Ligue 1,25,23,3,4,3.2
2362,Mamadou Sarr,fr FRA,DF,Lyon,fr Ligue 1,17,1,0,0,0.0
2363,Martin Satriano,uy URU,FW,Brest,fr Ligue 1,22,33,4,4,6.1
2364,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,31,32,9,6,9.1
2365,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,32,23,0,0,0.3
2366,Sávio,br BRA,"FW,MF",Girona,es La Liga,19,37,9,10,6.1
2367,Zanos Savva,cy CYP,"DF,MF",Torino,it Serie A,17,2,1,0,0.2
2368,Saba Sazonov,ge GEO,DF,Torino,it Serie A,21,12,0,0,0.2
2369,Joe Scally,us USA,DF,Gladbach,de Bundesliga,20,31,1,4,0.6
2370,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,19,33,1,3,1.4
2371,Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,24,29,12,6,6.5
2372,Dane Scarlett,eng ENG,FW,Tottenham,eng Premier League,19,4,0,0,0.0
2373,Kevin Schade,de GER,"FW,MF",Brentford,eng Premier League,21,11,2,1,1.2
2374,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,24,20,1,2,1.8
2375,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,31,36,4,1,2.5
2376,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,27,20,7,0,6.0
2377,Stefan Schimmer,de GER,"MF,FW",Heidenheim,de Bundesliga,29,16,0,1,0.6
2378,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,25,29,0,5,1.1
2379,Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,26,27,5,1,2.0
2380,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,23,33,2,1,3.0
2381,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,eng Premier League,30,29,2,2,1.8
2382,Romano Schmid,at AUT,"MF,FW",Werder Bremen,de Bundesliga,23,33,4,6,5.2
2383,Kenneth Schmidt,de GER,DF,Freiburg,de Bundesliga,21,5,0,0,0.0
2384,Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,25,22,1,1,1.2
2385,Benno Schmitz,de GER,DF,Köln,de Bundesliga,28,22,0,1,0.2
2386,Fabian Schnellhardt,de GER,MF,Darmstadt 98,de Bundesliga,29,10,0,0,0.2
2387,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,24,26,2,2,1.1
2388,Marcel Schuhen,de GER,GK,Darmstadt 98,de Bundesliga,30,31,0,0,0.0
2389,Perr Schuurs,nl NED,DF,Torino,it Serie A,23,9,1,0,0.7
2390,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,28,34,0,0,0.0
2391,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,31,1,0,0,0.0
2392,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,19,23,1,1,0.7
2393,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,27,31,0,0,0.0
2394,Jérémy Sebas,mq MTQ,"FW,MF",Strasbourg,fr Ligue 1,20,14,2,0,1.0
2395,Demba Seck,sn SEN,MF,Torino,it Serie A,22,9,0,0,0.3
2396,Demba Seck,sn SEN,"FW,MF",Frosinone,it Serie A,22,11,0,0,1.1
2397,Aleksandar Sedlar,rs SRB,DF,Alavés,es La Liga,31,11,1,0,0.3
2398,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,23,11,0,0,0.2
2399,Alidu Seidu,gh GHA,DF,Clermont Foot,fr Ligue 1,23,14,0,1,0.1
2400,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,22,21,0,2,0.0
2401,Nikola Sekulov,it ITA,FW,Juventus,it Serie A,21,1,0,0,0.0
2402,Davie Selke,de GER,FW,Köln,de Bundesliga,28,19,6,0,4.8
2403,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,31,16,0,0,0.0
2404,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,31,19,0,0,0.0
2405,Nélson Semedo,pt POR,"DF,MF",Wolves,eng Premier League,29,36,0,1,1.3
2406,Vivaldo Semedo,pt POR,FW,Udinese,it Serie A,18,1,0,0,0.0
2407,Antoine Semenyo,gh GHA,FW,Bournemouth,eng Premier League,23,33,8,2,4.6
2408,Marvin Senaya,tg TOG,"DF,MF",Strasbourg,fr Ligue 1,22,32,1,1,1.2
2409,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,26,31,4,5,2.0
2410,Stefano Sensi,it ITA,MF,Inter,it Serie A,27,4,0,1,0.1
2411,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,26,25,0,2,1.0
2412,Benjamin Šeško,si SVN,FW,RB Leipzig,de Bundesliga,20,31,14,2,7.7
2413,Kevin Sessa,de GER,"MF,FW",Heidenheim,de Bundesliga,23,30,3,0,2.9
2414,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27,16,1,0,1.0
2415,Andres Sfait,ro ROU,"DF,MF",Salernitana,it Serie A,18,2,0,0,0.0
2416,Stephan El Shaarawy,it ITA,"FW,DF",Roma,it Serie A,30,33,3,4,2.5
2417,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,28,12,0,0,0.0
2418,James Shea,eng ENG,GK,Luton Town,eng Premier League,32,1,0,0,0.0
2419,Eldor Shomurodov,uz UZB,"FW,MF",Cagliari,it Serie A,28,22,3,3,3.5
2420,Steven Shpendi,al ALB,"FW,MF",Empoli,it Serie A,20,12,0,1,0.4
2421,Sofiane Sidi Ali,fr FRA,MF,Marseille,fr Ligue 1,28,2,0,0,0.0
2422,Vincent Sierro,ch SUI,MF,Toulouse,fr Ligue 1,27,30,6,2,5.9
2423,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,23,14,0,0,0.2
2424,Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,21,27,0,1,0.6
2425,André Silva,pt POR,FW,Real Sociedad,es La Liga,27,19,3,0,3.3
2426,Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,28,33,6,9,3.7
2427,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,26,9,0,5,0.2
2428,Fábio Silva,pt POR,FW,Wolves,eng Premier League,21,8,0,0,1.0
2429,Rui Silva,pt POR,GK,Betis,es La Liga,29,28,0,0,0.0
2430,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,38,31,3,1,0.8
2431,Marco Silvestri,it ITA,GK,Udinese,it Serie A,32,17,0,0,0.0
2432,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,23,32,2,3,3.9
2433,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,28,28,1,0,3.4
2434,Giuliano Simeone,ar ARG,FW,Alavés,es La Liga,20,14,1,2,2.4
2435,Jan-Carlo Simic,rs SRB,DF,Milan,it Serie A,18,4,1,0,0.6
2436,Moses Simon,ng NGA,"FW,MF",Nantes,fr Ligue 1,28,22,3,5,4.1
2437,Unai Simón,es ESP,GK,Athletic Club,es La Liga,26,36,0,0,0.0
2438,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,20,32,8,11,8.3
2439,Wilfried Singo,ci CIV,DF,Monaco,fr Ligue 1,22,25,1,1,0.8
2440,Luis Sinisterra,co COL,"FW,MF",Bournemouth,eng Premier League,24,20,2,2,2.5
2441,Daley Sinkgraven,nl NED,DF,Las Palmas,es La Liga,28,10,0,0,0.0
2442,Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,es La Liga,27,14,0,1,0.2
2443,Ayanda Sishuba,be BEL,"MF,FW",Lens,fr Ligue 1,18,7,0,0,0.9
2444,Ibrahima Sissoko,ml MLI,MF,Strasbourg,fr Ligue 1,25,27,0,1,1.0
2445,Moussa Sissoko,fr FRA,MF,Nantes,fr Ligue 1,33,26,0,0,1.3
2446,Antonio Sivera,es ESP,GK,Alavés,es La Liga,26,34,0,0,0.0
2447,Tim Skarke,de GER,"FW,DF",Darmstadt 98,de Bundesliga,26,30,8,0,3.6
2448,Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,de Bundesliga,28,27,2,2,2.3
2449,Oliver Skipp,eng ENG,"MF,DF",Tottenham,eng Premier League,22,21,0,0,0.7
2450,Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,23,25,1,0,0.6
2451,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,32,32,0,0,0.0
2452,Robert Skov,dk DEN,"DF,FW",Hoffenheim,de Bundesliga,27,25,3,4,1.8
2453,Milan Škriniar,sk SVK,DF,Paris S-G,fr Ligue 1,28,24,0,0,0.2
2454,Naatan Skyttä,fi FIN,"MF,FW",Toulouse,fr Ligue 1,21,8,0,0,0.5
2455,Chris Smalling,eng ENG,DF,Roma,it Serie A,33,8,0,0,0.0
2456,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32,28,0,2,0.1
2457,Emile Smith Rowe,eng ENG,MF,Arsenal,eng Premier League,23,13,0,1,2.0
2458,Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,de Bundesliga,22,11,1,0,1.0
2459,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,31,3,0,0,0.0
2460,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,31,5,0,0,0.0
2461,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,28,3,0,0,0.0
2462,Rubén Sobrino,es ESP,"MF,FW",Cádiz,es La Liga,31,32,0,1,1.8
2463,Andrea Sodero,it ITA,MF,Empoli,it Serie A,18,1,0,0,0.0
2464,Emran Soglo,eng ENG,"MF,DF",Marseille,fr Ligue 1,18,3,1,1,0.1
2465,Alex Sola,es ESP,"FW,MF",Alavés,es La Liga,24,29,0,3,1.6
2466,Alex Sola,es ESP,"DF,MF",Real Sociedad,es La Liga,24,2,0,0,0.0
2467,Dominic Solanke,eng ENG,FW,Bournemouth,eng Premier League,25,38,19,3,19.6
2468,Ola Solbakken,no NOR,FW,Roma,it Serie A,24,1,0,0,0.0
2469,Carlos Soler,es ESP,"MF,DF",Paris S-G,fr Ligue 1,26,24,2,2,1.5
2470,Jhon Solis,co COL,MF,Girona,es La Liga,18,18,0,0,1.0
2471,Manor Solomon,il ISR,FW,Tottenham,eng Premier League,24,5,0,2,0.4
2472,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,26,1,0,0,0.0
2473,Yann Sommer,ch SUI,GK,Inter,it Serie A,34,34,0,0,0.0
2474,Brandon Soppy,fr FRA,DF,Torino,it Serie A,21,5,0,0,0.0
2475,David Soria,es ESP,GK,Getafe,es La Liga,30,38,0,0,0.0
2476,Alberto Soro,es ESP,MF,Granada,es La Liga,24,1,0,0,0.0
2477,Alessandro Sorrentino,it ITA,GK,Monza,it Serie A,21,7,0,0,0.0
2478,Borna Sosa,hr CRO,"FW,DF",Stuttgart,de Bundesliga,25,2,0,0,0.0
