Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
David Tutonda,60,80,40,49,58,54,71,Congo DR,EFL League Two,Morecambe,28,"180cm / 5'11""",70kg / 154lb,LB
Nik Tzanev,60,61,59,56,61,46,59,New Zealand,EFL League One,Northampton,27,"195cm / 6'5""",90kg / 198lb,GK
Cem Üstündag,60,68,49,57,65,55,45,Austria,Ö. Bundesliga,WSG Tirol,23,"170cm / 5'7""",61kg / 134lb,CDM
Connor van den Berg,60,60,60,56,59,24,59,Holland,Eredivisie,Willem II,23,"187cm / 6'2""",74kg / 163lb,GK
Luis Abelardo Vargas,60,73,28,48,57,56,48,Paraguay,Libertadores,Cerro Porteño,24,"173cm / 5'8""",70kg / 154lb,LB
Josue Vargas,60,57,63,61,60,20,55,Peru,Sudamericana,Dep. Garcilaso,21,"182cm / 6'0""",70kg / 154lb,GK
Vicente Vega,60,56,20,41,37,60,68,Chile,Sudamericana,Everton,20,"183cm / 6'0""",78kg / 172lb,CB
Emiliano Vidart,60,62,59,61,57,60,55,Uruguay,Sudamericana,Wanderers,22,"182cm / 6'0""",75kg / 165lb,CDM
Eduardo Villanueva,60,61,58,56,62,23,59,Chile,Libertadores,Colo-Colo,19,"187cm / 6'2""",76kg / 168lb,GK
Dominic Vincze,60,75,45,52,52,56,66,Austria,Ö. Bundesliga,SK Rapid,20,"188cm / 6'2""",80kg / 176lb,LB
Laurențiu Vlăsceanu,60,73,51,57,62,51,54,Romania,SUPERLIGA,Unirea Slobozia,19,"172cm / 5'8""",66kg / 146lb,LB
Oscar Wallin,60,67,22,47,56,58,66,Sweden,EFL League One,Peterborough,23,"191cm / 6'3""",82kg / 181lb,CB
Joe Walsh,60,60,61,60,60,58,59,England,EFL Championship,QPR,22,"185cm / 6'1""",78kg / 172lb,GK
Wang Yi,60,75,27,45,55,57,52,China PR,CSL,Wuhan Three Towns,26,"176cm / 5'9""",69kg / 152lb,RB
Wang Peng,60,62,52,52,57,57,73,China PR,CSL,Cangzhou FC,31,"185cm / 6'1""",70kg / 154lb,CB
Wang Zhifeng,60,61,65,59,60,33,60,China PR,CSL,Changchun Yatai,27,"197cm / 6'6""",90kg / 198lb,GK
Lukas Wedl,60,60,57,56,60,45,58,Austria,Ö. Bundesliga,FK Austria Wien,28,"186cm / 6'1""",80kg / 176lb,GK
Daouda Weidmann,60,74,51,58,64,50,49,France,Eredivisie,RKC Waalwijk,21,"180cm / 5'11""",70kg / 154lb,CM
Evan Weir,60,67,52,59,54,55,60,Republic of Ireland,EFL League Two,Walsall,22,"185cm / 6'1""",82kg / 181lb,LB
Joe Whitworth,60,61,57,60,63,24,55,England,EFL League One,Exeter City,20,"179cm / 5'10""",70kg / 154lb,GK
Melker Widell,60,69,55,57,60,51,63,Sweden,3F Superliga,AaB,22,"181cm / 5'11""",69kg / 152lb,CM
Aaron Wildig,60,55,57,59,61,54,60,England,EFL League Two,Newport County,32,"175cm / 5'9""",73kg / 161lb,CM
Dalton Wilkins,60,70,54,54,61,52,64,New Zealand,3F Superliga,Sønderjyske,25,"181cm / 5'11""",65kg / 143lb,LB
Dylan Williams,60,65,38,58,58,62,57,England,EFL League One,Burton Albion,21,"178cm / 5'10""",66kg / 146lb,CB
Daniel Wilmering,60,72,44,56,59,53,62,Australia,A-League,Newcastle Jets,23,"178cm / 5'10""",60kg / 132lb,LB
Filip Wójcik,60,78,30,57,60,51,57,Poland,PKO BP Ekstraklasa,Motor Lublin,27,"174cm / 5'9""",72kg / 159lb,RB
Patrick Wood,60,77,58,51,56,29,67,Australia,A-League,Sydney FC,21,"178cm / 5'10""",73kg / 161lb,ST
Arkadiusz Woźniak,60,63,60,60,63,58,63,Poland,PKO BP Ekstraklasa,Zagłębie Lubin,34,"184cm / 6'0""",73kg / 161lb,CM
Xie Weijun,60,75,57,48,57,24,65,China PR,CSL,Tianjin JMT FC,26,"190cm / 6'3""",79kg / 174lb,ST
Xu Jiamin,60,62,58,55,61,36,58,China PR,CSL,Henan FC,30,"195cm / 6'5""",85kg / 187lb,GK
Ali Emre Yanar,60,65,58,56,58,24,59,Turkey,Trendyol Süper Lig,Kasımpaşa,26,"190cm / 6'3""",80kg / 176lb,GK
Darren Yapi,60,74,55,45,62,22,58,United States,MLS,Colorado Rapids,19,"185cm / 6'1""",79kg / 174lb,ST
Yeo Bong Hun,60,66,56,58,62,53,65,Korea Republic,K League 1,GwangJu FC,30,"178cm / 5'10""",70kg / 154lb,RB
Johnly Yfeko,60,70,34,49,54,58,63,England,EFL League One,Exeter City,21,"191cm / 6'3""",80kg / 176lb,CB
Berkay Yilmaz,60,71,29,52,59,54,48,Turkey,Bundesliga,SC Freiburg,19,"178cm / 5'10""",69kg / 152lb,LB
Yin Hongbo,60,61,53,60,60,52,60,China PR,CSL,Meizhou Hakka FC,34,"179cm / 5'10""",70kg / 154lb,RM
Saud Zaidan,60,69,43,59,65,56,63,Saudi Arabia,ROSHN Saudi League,Al Fayha,24,"167cm / 5'6""",66kg / 146lb,CM
Leroy Zeller,60,61,60,63,63,29,62,Germany,3. Liga,Aleman. Aachen,23,"195cm / 6'5""",88kg / 194lb,GK
Viktor Zentrich,60,69,30,44,50,59,70,Czech Republic,3. Liga,Unterhaching,21,"186cm / 6'1""",82kg / 181lb,CB
Zhang Wei,60,70,43,53,57,55,64,China PR,CSL,SZ Peng City,31,"176cm / 5'9""",73kg / 161lb,LB
Zhang Xiuwei,60,80,44,48,67,60,56,China PR,CSL,Qingdao W. Coast,28,"173cm / 5'8""",57kg / 126lb,CM
Zhang Chengdong,60,45,56,59,60,57,71,China PR,CSL,Beijing FC,35,"185cm / 6'1""",76kg / 168lb,CB
Zheng Long,60,66,55,61,59,48,60,China PR,CSL,Qingdao Hainiu,36,"178cm / 5'10""",71kg / 157lb,RM
Luck Zogbé,60,65,34,49,55,58,57,Côte d'Ivoire,Ligue 1 McDonald's,Stade Brestois 29,19,"178cm / 5'10""",70kg / 154lb,RB
Joackim Åberg,59,53,47,53,56,55,66,Sweden,Allsvenskan,GAIS,26,"185cm / 6'1""",78kg / 172lb,CDM
Kenneth Aboh,59,74,58,39,58,27,62,England,EFL Championship,Norwich,19,"175cm / 5'9""",71kg / 157lb,ST
Matthew Acton,59,60,58,58,61,40,57,Australia,A-League,Brisbane Roar,32,"184cm / 6'0""",85kg / 187lb,GK
Mihai Adăscăliței,59,57,44,58,57,56,68,Romania,SUPERLIGA,SC Oțelul Galați,29,"180cm / 5'11""",80kg / 176lb,RB
Raphaël Adicéam,59,62,60,57,58,21,60,France,Ligue 1 McDonald's,AJ Auxerre,34,"179cm / 5'10""",73kg / 161lb,GK
Lalo Aguilar,59,54,32,37,37,63,63,Spain,LALIGA HYPERMOTION,Albacete BP,22,"188cm / 6'2""",82kg / 181lb,CB
Sören Ahlers,59,60,58,61,62,25,60,Germany,Bundesliga,FC St. Pauli,27,"194cm / 6'4""",86kg / 190lb,GK
James Akintunde,59,70,59,49,60,33,69,England,SSE Airtricity PD,Bohemians,28,"175cm / 5'9""",75kg / 165lb,ST
Abdelraouf Al Duqail,59,54,54,58,60,21,63,Saudi Arabia,ROSHN Saudi League,Al Fayha,29,"185cm / 6'1""",90kg / 198lb,GK
Raid Al Ghamdi,59,74,57,55,61,38,62,Saudi Arabia,ROSHN Saudi League,Al Raed,30,"176cm / 5'9""",77kg / 170lb,ST
Abdulhadi Al Harajin,59,70,53,55,61,25,44,Saudi Arabia,ROSHN Saudi League,Al Fayha,29,"175cm / 5'9""",64kg / 141lb,LM
Nawaf Al Harthi,59,70,44,59,63,48,56,Saudi Arabia,ROSHN Saudi League,Al Fayha,25,"172cm / 5'8""",65kg / 143lb,CM
Hamed Al Maqati,59,69,53,55,61,52,51,Saudi Arabia,ROSHN Saudi League,Al Orobah,31,"174cm / 5'9""",64kg / 141lb,LB
Abdullah Al Meqran,59,68,56,57,64,34,60,Saudi Arabia,ROSHN Saudi League,Damac FC,27,"179cm / 5'10""",72kg / 159lb,ST
Muteb Al Mufarrij,59,61,26,43,50,58,58,Saudi Arabia,ROSHN Saudi League,Al Taawoun,28,"182cm / 6'0""",70kg / 154lb,CB
Awadh Al Nashri,59,51,31,48,50,58,66,Saudi Arabia,ROSHN Saudi League,Al Ittihad,22,"175cm / 5'9""",70kg / 154lb,CDM
Abdullah Al Owayshir,59,64,56,55,62,38,54,Saudi Arabia,ROSHN Saudi League,Al Wehda,33,"184cm / 6'0""",69kg / 152lb,GK
Hamdan Al Ruwaili,59,77,31,49,54,53,63,Saudi Arabia,ROSHN Saudi League,Al Orobah,29,"171cm / 5'7""",62kg / 137lb,RB
Mohammed Al Shanqeeti,59,66,30,44,52,56,57,Saudi Arabia,ROSHN Saudi League,Al Qadisiyah,25,"168cm / 5'6""",65kg / 143lb,LB
Fawaz Al Tryes,59,75,46,51,63,32,40,Saudi Arabia,ROSHN Saudi League,Al Orobah,27,"171cm / 5'7""",65kg / 143lb,LM
Fredderick Alfonso,59,65,42,57,57,51,53,Paraguay,Sudamericana,S. Ameliano,28,"175cm / 5'9""",70kg / 154lb,CM
Anwar Ali,59,67,34,45,52,58,72,India,ISL,East Bengal,24,"179cm / 5'10""",74kg / 163lb,CB
Kaden Amaniampong,59,69,24,45,53,60,56,Germany,3. Liga,VfB Stuttgart II,20,"182cm / 6'0""",82kg / 181lb,CB
Chovanie Amatkarijo,59,82,49,48,65,29,35,Holland,Allsvenskan,GAIS,25,"175cm / 5'9""",64kg / 141lb,LW
An Chan Gi,59,58,61,55,57,20,60,Korea Republic,K League 1,Jeju United,26,"187cm / 6'2""",80kg / 176lb,GK
Lee Angol,59,75,57,55,60,30,63,England,EFL League Two,Morecambe,30,"187cm / 6'2""",75kg / 165lb,ST
Jakub Antczak,59,75,48,55,63,28,46,Poland,PKO BP Ekstraklasa,GKS Katowice,20,"168cm / 5'6""",61kg / 134lb,LW
Marcial Aquino,59,61,25,35,33,58,69,Paraguay,Sudamericana,S. Ameliano,37,"184cm / 6'0""",86kg / 190lb,CB
Diogo Dias,59,56,62,53,60,23,55,Portugal,Liga Portugal,Estoril Praia,21,"188cm / 6'2""",81kg / 179lb,GK
Nicolás Arévalo,59,68,47,55,54,47,51,Colombia,Libertadores,Millonarios,21,"176cm / 5'9""",68kg / 150lb,CM
Jeremy,59,73,60,45,59,24,51,Spain,LALIGA HYPERMOTION,R. Racing Club,19,"180cm / 5'11""",81kg / 179lb,ST
Haitham Asiri,59,80,52,49,60,24,63,Saudi Arabia,ROSHN Saudi League,Al Qadisiyah,23,"173cm / 5'8""",65kg / 143lb,LM
Asqer Afrden,59,86,51,43,65,25,65,China PR,CSL,Wuhan Three Towns,20,"175cm / 5'9""",69kg / 152lb,LW
Zachary Athekame,59,67,28,45,53,55,52,Switzerland,CSSL,BSC Young Boys,19,"180cm / 5'11""",70kg / 154lb,RB
Edvin Austbø,59,73,58,50,62,23,44,Norway,Eliteserien,Viking FK,19,"172cm / 5'8""",64kg / 141lb,LW
Josh Austerfield,59,67,45,55,57,56,55,England,EFL League Two,Salford City,22,"179cm / 5'10""",68kg / 150lb,CM
Sam Austin,59,74,57,58,61,49,61,England,EFL League Two,Notts County,27,"182cm / 6'0""",79kg / 174lb,CM
Alexandre Azevedo,59,84,46,55,60,50,50,Germany,3. Liga,VfB Stuttgart II,19,"173cm / 5'8""",67kg / 148lb,LB
Barry Baggley,59,65,50,54,62,52,55,Northern Ireland,SSE Airtricity PD,Waterford,22,"170cm / 5'7""",65kg / 143lb,CM
Ahmed Bahusayn,59,64,49,58,60,50,59,Saudi Arabia,ROSHN Saudi League,Al Taawoun,23,"170cm / 5'7""",63kg / 139lb,CM
Nicolas Bajlicz,59,68,47,58,69,45,46,Austria,Ö. Bundesliga,SK Rapid,20,"173cm / 5'8""",68kg / 150lb,CM
Labinot Bajrami,59,67,60,40,55,21,51,Switzerland,CSSL,FC Zürich,19,"187cm / 6'2""",83kg / 183lb,ST
Reed Baker-Whiting,59,70,57,55,60,53,60,United States,MLS,Sounders FC,19,"182cm / 6'0""",73kg / 161lb,RB
James Ball,59,53,58,57,56,56,76,England,EFL League Two,AFC Wimbledon,28,"191cm / 6'3""",86kg / 190lb,CM
Kofi Balmer,59,64,33,44,50,59,64,Northern Ireland,Scottish Prem,Motherwell,23,"183cm / 6'0""",80kg / 176lb,CB
Ibrahima Sory Bangoura,59,64,35,50,52,57,64,Guinea,1A Pro League,KRC Genk,20,"190cm / 6'3""",79kg / 174lb,CDM
Sam Barnes,59,59,30,45,52,59,59,England,EFL League Two,Barrow,23,"191cm / 6'3""",81kg / 179lb,CB
Jay Barnett,59,61,43,55,58,55,56,Australia,A-League,Adelaide United,23,"179cm / 5'10""",75kg / 165lb,CDM
Tom Barth,59,68,51,52,60,53,60,Germany,3. Liga,VfB Stuttgart II,19,"181cm / 5'11""",73kg / 161lb,RB
William Benard,59,65,44,61,59,56,61,France,Ligue 2 BKT,Laval MFC,21,"182cm / 6'0""",75kg / 165lb,CM
Roméo Beney,59,57,58,40,58,17,57,Switzerland,CSSL,FC Basel 1893,19,"187cm / 6'2""",80kg / 176lb,ST
Justin Bengui,59,60,57,55,60,25,56,France,Ligue 1 McDonald's,OL,19,"190cm / 6'3""",80kg / 176lb,GK
Theo Bergvall,59,82,41,53,57,52,60,Sweden,Allsvenskan,Brommapojkarna,19,"185cm / 6'1""",75kg / 165lb,RB
Matteo Bignetti,59,61,58,54,61,44,55,Austria,Ö. Bundesliga,SK Sturm Graz,20,"190cm / 6'3""",76kg / 168lb,GK
Huseyin Biler,59,82,29,49,60,52,61,England,EFL League Two,AFC Wimbledon,22,"176cm / 5'9""",71kg / 157lb,RB
Mathéo Bodmer,59,55,47,60,62,54,56,France,Ligue 1 McDonald's,Havre AC,20,"177cm / 5'10""",70kg / 154lb,CDM
Morgan Bokele,59,70,54,53,61,25,44,Cameroon,Ligue 2 BKT,FC Metz,20,"175cm / 5'9""",71kg / 157lb,LM
Diabé Bolumbu,59,65,31,43,55,57,61,France,Ligue 2 BKT,SM Caen,20,"180cm / 5'11""",69kg / 152lb,LB
Sam Bone,59,47,47,49,51,58,69,England,SSE Airtricity PD,Shelbourne,26,"183cm / 6'0""",85kg / 187lb,CB
Alex Bonetig,59,59,29,47,51,58,67,Australia,A-League,WS Wanderers,22,"187cm / 6'2""",80kg / 176lb,CB
Théo Borne,59,55,62,52,63,31,56,France,Ligue 2 BKT,Clermont Foot 63,22,"191cm / 6'3""",74kg / 163lb,GK
Amin Boudri,59,65,54,53,63,35,56,Sweden,Allsvenskan,GAIS,19,"176cm / 5'9""",74kg / 163lb,LW
Ciaran Brennan,59,63,24,44,45,59,65,Republic of Ireland,EFL League Two,Newport County,24,"189cm / 6'2""",70kg / 154lb,CB
Alexander Briedl,59,57,32,54,51,57,57,Austria,Ö. Bundesliga,Blau-Weiss Linz,22,"180cm / 5'11""",73kg / 161lb,CDM
George Broadbent,59,66,50,55,58,55,61,England,EFL League Two,Doncaster,23,"175cm / 5'9""",68kg / 150lb,CM
Ameen Bukhari,59,60,55,56,58,46,57,Saudi Arabia,ROSHN Saudi League,Damac FC,27,"194cm / 6'4""",82kg / 181lb,GK
Maxim Burghardt,59,67,45,58,59,56,55,Germany,3. Liga,FC Erzgebirge Aue,19,"180cm / 5'11""",76kg / 168lb,RB
Lautaro Bursich,59,63,58,51,61,28,54,Argentina,Primera División,Central Córdoba,21,"195cm / 6'5""",79kg / 174lb,GK
Nathan Butler-Oyedeji,59,74,57,53,62,19,52,England,Premier League,Arsenal,21,"177cm / 5'10""",74kg / 163lb,ST
Jili Buyabu,59,68,34,42,59,59,62,England,EFL Championship,Sheffield Utd,21,"182cm / 6'0""",74kg / 163lb,LB
Victor Cabañas,59,76,39,50,57,54,55,Paraguay,Libertadores,Cerro Porteño,21,"175cm / 5'9""",75kg / 165lb,RB
Welat Cagro,59,62,47,59,59,53,65,Belgium,1A Pro League,K. Beerschot VA,25,"189cm / 6'2""",75kg / 165lb,CM
Tudor Călin,59,56,41,51,52,59,68,Romania,SUPERLIGA,FC Gloria Buzău,23,"187cm / 6'2""",80kg / 176lb,CDM
Alexandro Calut,59,69,29,52,58,54,56,Belgium,1A Pro League,Standard Liège,21,"180cm / 5'11""",68kg / 150lb,LB
Ramón Cansinos,59,73,61,43,59,24,47,Argentina,Primera División,Central Córdoba,21,"172cm / 5'8""",70kg / 154lb,ST
Cao Kang,59,63,50,55,55,56,68,China PR,CSL,Nantong Zhiyun FC,31,"185cm / 6'1""",79kg / 174lb,CDM
Aldaír Ferreira,59,65,54,57,58,47,48,Angola,SUPERLIGA,FC Botoșani,26,"175cm / 5'9""",68kg / 150lb,CAM
Anes Cardaklija,59,56,25,39,53,58,68,Sweden,Allsvenskan,GAIS,19,"194cm / 6'4""",82kg / 181lb,CB
Gonçalo Almeida,59,73,36,42,56,55,47,Portugal,Liga Portugal,Boavista FC,21,"181cm / 5'11""",65kg / 143lb,RB
Conor Carty,59,68,58,51,58,23,56,Republic of Ireland,EFL League One,Bolton,22,"184cm / 6'0""",73kg / 161lb,ST
Julián Ceballos,59,72,47,56,63,38,41,Argentina,Sudamericana,Boca Juniors,20,"163cm / 5'4""",61kg / 134lb,LM
Miguel Chaiwa,59,74,36,50,59,57,68,Zambia,CSSL,BSC Young Boys,20,"179cm / 5'10""",73kg / 161lb,CDM
Daniel Chesters,59,71,47,56,63,46,55,England,EFL League Two,Salford City,22,"177cm / 5'10""",68kg / 150lb,RW
Adam Chicksen,59,69,49,53,58,53,64,Zimbabwe,EFL League Two,Notts County,32,"173cm / 5'8""",74kg / 163lb,LB
Niccolò Chiorra,59,56,57,60,64,29,59,Italy,Serie A Enilive,Empoli,23,"182cm / 6'0""",74kg / 163lb,GK
Cho Soo Hyuk,59,57,59,58,56,33,60,Korea Republic,K League 1,Ulsan Hyundai,37,"188cm / 6'2""",83kg / 183lb,GK
Cho Sung Gwon,59,61,28,34,40,57,71,Korea Republic,K League 1,GwangJu FC,23,"182cm / 6'0""",75kg / 165lb,CB
Choi Woo Jin,59,66,55,50,64,52,54,Korea Republic,K League 1,Incheon United,20,"175cm / 5'9""",66kg / 146lb,LM
Mirza Cihan,59,67,52,56,63,33,41,Turkey,Trendyol Süper Lig,Gaziantep,23,"175cm / 5'9""",67kg / 148lb,LM
Nicólas Claa,59,61,59,58,62,21,59,Argentina,Sudamericana,Lanús,20,"188cm / 6'2""",82kg / 181lb,GK
Jayden Clarke,59,75,54,56,62,44,56,England,EFL League Two,Gillingham,23,"175cm / 5'9""",78kg / 172lb,CAM
Mateo Clemente,59,58,59,58,60,27,58,Argentina,Libertadores,San Lorenzo,22,"184cm / 6'0""",77kg / 170lb,GK
Junior Colina,59,67,55,48,64,32,46,Venezuela,Sudamericana,Rayo Zuliano,17,"173cm / 5'8""",73kg / 161lb,CAM
Ciarán Coll,59,70,31,53,50,56,61,Republic of Ireland,SSE Airtricity PD,Derry City,33,"178cm / 5'10""",64kg / 141lb,LB
Toby Collyer,59,65,33,56,58,55,55,England,Premier League,Man Utd,20,"180cm / 5'11""",65kg / 143lb,CDM
Enzo Crombez,59,60,62,57,61,16,60,France,Ligue 2 BKT,Rodez AF,21,"185cm / 6'1""",78kg / 172lb,GK
Guilder Cuellar,59,67,59,51,63,22,42,Bolivia,Sudamericana,Universitario,25,"170cm / 5'7""",68kg / 150lb,LW
Marcos Cuenca,59,71,57,53,58,42,57,Spain,LALIGA HYPERMOTION,Real Zaragoza,21,"184cm / 6'0""",78kg / 172lb,ST
Sam Dalby,59,68,57,43,56,23,67,England,Scottish Prem,Dundee United,24,"190cm / 6'3""",78kg / 172lb,ST
Jacob Davenport,59,64,43,59,59,57,55,England,SSE Airtricity PD,Derry City,25,"177cm / 5'10""",73kg / 161lb,CDM
Joe Day,59,57,56,57,59,51,60,England,EFL League Two,Cheltenham Town,34,"190cm / 6'3""",84kg / 185lb,GK
Alfonso De Luca,59,73,58,52,61,29,43,Uruguay,Sudamericana,Cerro Largo,18,"175cm / 5'9""",59kg / 130lb,RW
Kas de Wit,59,69,47,57,64,40,46,Holland,Eredivisie,N.E.C. Nijmegen,21,"190cm / 6'3""",70kg / 154lb,CAM
Martin Delavallée,59,60,56,62,59,46,59,Belgium,1A Pro League,Sp. Charleroi,20,"180cm / 5'11""",77kg / 170lb,GK
Lukas Demming,59,67,53,56,59,60,60,Germany,3. Liga,SC Verl,24,"180cm / 5'11""",74kg / 163lb,CM
Oliver Denham,59,55,26,38,46,58,67,Wales,SSE Airtricity PD,Sligo Rovers,22,"182cm / 6'0""",71kg / 157lb,CB
Louis Dennis,59,72,55,54,60,44,59,England,EFL League Two,Bromley FC,31,"185cm / 6'1""",77kg / 170lb,RM
Matthew Dennis,59,85,56,45,60,39,66,England,EFL League Two,MK Dons,22,"186cm / 6'1""",80kg / 176lb,ST
Samuele Di Benedetto,59,68,47,57,63,56,55,Germany,3. Liga,VfB Stuttgart II,19,"172cm / 5'8""",68kg / 150lb,CDM
Elsinho,59,57,40,52,52,60,56,Brazil,ISL,Chennaiyin FC,33,"192cm / 6'4""",72kg / 159lb,CB
Tyler Dibling,59,77,51,51,64,25,49,England,Premier League,Southampton,18,"178cm / 5'10""",72kg / 159lb,RW
Benno Dietze,59,65,30,39,55,58,63,Germany,3. Liga,FC Hansa Rostock,21,"183cm / 6'0""",82kg / 181lb,CB
Jonas Dirkner,59,53,38,52,57,59,55,Germany,3. Liga,FC Hansa Rostock,22,"181cm / 5'11""",70kg / 154lb,CDM
Alan Do Marcolino,59,59,62,44,60,23,46,Gabon,Ligue 1 McDonald's,Stade Rennais FC,22,"194cm / 6'4""",78kg / 172lb,ST
Arnaud Dony,59,72,30,50,59,53,56,Belgium,1A Pro League,R. Union St.-G.,20,"170cm / 5'7""",70kg / 154lb,LB
Paul Doyle,59,47,41,57,58,53,66,Republic of Ireland,SSE Airtricity PD,Dundalk,26,"177cm / 5'10""",73kg / 161lb,CDM
Dominik Draband,59,62,56,55,61,16,59,Germany,3. Liga,VfB Stuttgart II,28,"186cm / 6'1""",84kg / 185lb,GK
Patryk Dragon,59,58,44,55,53,56,70,Germany,Bundesliga 2,SV Elversberg,28,"187cm / 6'2""",91kg / 201lb,CDM
Ognjen Drakulić,59,60,59,43,55,24,60,Serbia,3. Liga,FC Ingolstadt 04,18,"187cm / 6'2""",80kg / 176lb,ST
Du Jia,59,57,54,52,60,49,58,China PR,CSL,Shanghai Port FC,31,"186cm / 6'1""",70kg / 154lb,GK
Erik Dueñas,59,72,35,55,69,55,38,Mexico,MLS,LAFC,19,"163cm / 5'4""",54kg / 119lb,CM
Stephen Duke-McKenna,59,80,48,58,63,54,43,Guyana,EFL League Two,Harrogate Town,24,"170cm / 5'7""",65kg / 143lb,CAM
Cameron Dummigan,59,54,40,55,55,57,58,Northern Ireland,SSE Airtricity PD,Derry City,28,"180cm / 5'11""",70kg / 154lb,RB
Alexander Eckmayr,59,58,60,55,60,23,56,Austria,Ö. Bundesliga,WSG Tirol,25,"186cm / 6'1""",78kg / 172lb,GK
Sefer Emini,59,67,58,60,63,38,54,North Macedonia,3F Superliga,Sønderjyske,24,"174cm / 5'9""",67kg / 148lb,CM
Noah Engelbreth,59,54,33,49,51,61,58,Germany,3. Liga,Hannover 96 II,19,"186cm / 6'1""",76kg / 168lb,CDM
Aday Ercan,59,60,46,48,57,56,66,Germany,3. Liga,VfL Osnabrück,24,"191cm / 6'3""",79kg / 174lb,CDM
Mihai Eșanu,59,61,53,60,65,27,55,Romania,SUPERLIGA,FC Petrolul,26,"188cm / 6'2""",75kg / 165lb,GK
Ángel Espínola,59,56,57,58,61,24,59,Argentina,Sudamericana,Sportivo Luqueño,21,"188cm / 6'2""",92kg / 203lb,GK
Marco Essimi,59,75,52,52,61,30,51,France,Ligue 2 BKT,USL Dunkerque,25,"182cm / 6'0""",66kg / 146lb,LM
Muhammadu Faal,59,69,58,48,56,21,64,England,EFL League One,Crawley Town,27,"196cm / 6'5""",84kg / 185lb,ST
Ali Fadal,59,60,47,58,55,55,56,Ghana,LALIGA EA SPORTS,Valencia CF,20,"180cm / 5'11""",72kg / 159lb,CM
Fallou Fall,59,48,28,45,47,59,61,Senegal,Eliteserien,Fredrikstad FK,20,"192cm / 6'4""",80kg / 176lb,CB
Fang Hao,59,62,58,55,61,40,55,China PR,CSL,Beijing FC,24,"172cm / 5'8""",70kg / 154lb,RW
Sultan Faqihi,59,72,42,51,52,54,61,Saudi Arabia,ROSHN Saudi League,Damac FC,29,"175cm / 5'9""",67kg / 148lb,RB
Amin Farouk,59,70,49,54,64,35,55,Germany,3. Liga,Wehen Wiesbaden,21,"179cm / 5'10""",78kg / 172lb,CAM
Frank Feller,59,61,60,63,60,30,62,Germany,Bundesliga,Heidenheim,20,"183cm / 6'0""",76kg / 168lb,GK
Feng Boyuan,59,53,58,37,54,23,67,China PR,CSL,Henan FC,29,"191cm / 6'3""",85kg / 187lb,ST
Emmanuel Fernandez,59,57,36,39,43,58,67,England,EFL League One,Peterborough,22,"194cm / 6'4""",84kg / 185lb,CB
Fabio Ferraro,59,68,56,51,66,18,35,Belgium,1A Pro League,FCV Dender EH,22,"180cm / 5'11""",65kg / 143lb,LM
Bryan Fiabema,59,77,58,49,63,25,58,Norway,PKO BP Ekstraklasa,Lech Poznań,21,"182cm / 6'0""",82kg / 181lb,ST
Kellen Fisher,59,68,36,50,58,55,62,England,EFL Championship,Norwich,20,"180cm / 5'11""",70kg / 154lb,RB
Will Fitzgerald,59,76,47,52,61,34,55,Republic of Ireland,SSE Airtricity PD,Sligo Rovers,25,"187cm / 6'2""",70kg / 154lb,LM
Sam Folarin,59,85,60,48,62,38,51,England,EFL League Two,Harrogate Town,23,"175cm / 5'9""",67kg / 148lb,RM
Sam Foley,59,40,55,60,60,58,68,Republic of Ireland,EFL League Two,Barrow,37,"183cm / 6'0""",74kg / 163lb,CM
Jahlane Forbes,59,68,31,50,55,55,61,United States,MLS,Charlotte FC,22,"183cm / 6'0""",80kg / 176lb,LB
Ezequiel Forclaz,59,60,52,57,65,37,43,Argentina,Primera División,Tigre,21,"173cm / 5'8""",68kg / 150lb,CAM
Harry Forster,59,71,54,55,60,52,58,England,EFL League One,Crawley Town,24,"173cm / 5'8""",66kg / 146lb,LB
Edward Francis,59,63,54,56,58,60,65,England,EFL League One,Exeter City,25,"182cm / 6'0""",76kg / 168lb,CM
Ian Fray,59,72,28,39,51,58,62,United States,MLS,Inter Miami CF,22,"183cm / 6'0""",73kg / 161lb,CB
Robin Frej,59,48,23,33,53,59,66,Sweden,Allsvenskan,GAIS,26,"184cm / 6'0""",79kg / 174lb,CB
Kevin Gadellaa,59,60,58,54,61,28,55,Holland,Eredivisie,FC Utrecht,21,"206cm / 6'9""",87kg / 192lb,GK
Gan Chao,59,79,54,58,60,53,61,China PR,CSL,Rongcheng FC,29,"175cm / 5'9""",73kg / 161lb,CM
Gao Di,59,71,57,47,57,44,67,China PR,CSL,Zhejiang Pro,34,"179cm / 5'10""",73kg / 161lb,ST
Leonardo García Posadas,59,65,24,48,51,59,62,Germany,3. Liga,B. Dortmund II,19,"189cm / 6'2""",77kg / 170lb,CB
Dario Ndubuisi Gebuhr,59,58,29,37,41,60,62,Germany,3. Liga,FC Hansa Rostock,21,"188cm / 6'2""",86kg / 190lb,CB
Jordan Gele,59,58,58,44,51,26,70,France,SUPERLIGA,Unirea Slobozia,31,"192cm / 6'4""",87kg / 192lb,ST
Thomas Geris,59,60,59,48,61,25,48,Austria,Ö. Bundesliga,WSG Tirol,21,"175cm / 5'9""",68kg / 150lb,ST
Juan Giménez,59,57,31,53,43,60,59,Argentina,Libertadores,Rosario Central,18,"188cm / 6'2""",74kg / 163lb,CB
